Source RAh RAm RAs DE- DEd DEm DEs Lbol Tbol Class RdiskA e_RdiskA RdiskV e_RdiskV MdiskA e_MdiskA MdiskV e_MdiskV QALMA QVLA SpIdxAV e_SpIdxAV SpIdxV e_SpIdxV Flag RA_deg DEC_deg FieldA A_Flux A_e_Flux A_PFlux A_RMS A_dBmaj A_dBmin A_dPA A_RA_deg A_DEC_deg DistanceA FieldV V_Flux V_e_Flux V_PFlux V_RMS V_dBmaj V_dBmin V_dPA V_RA_deg V_DEC_deg DistanceV
2M05414138-0154445 5 41 41.39 - 1 54 44.75 "" "" None "" "" "" "" "" "" 406.2 74.7 "" "" "" "" -0.4 0.65 nd 85.42245833333334 -1.9124305555555554 "" "" "" "" "" "" "" "" "" "" "" HOPS-384 0.271 0.025 0.256 28.52 0.0 0.0 0.0 85.42245833333334 -1.9124305555555554 409.5
2M05414325-0154343 5 41 43.248 - 1 54 34.35 "" "" None "" "" "" "" "" "" 130.4 45.1 "" "" "" "" 5.6 2.29 nd 85.4302 -1.9095416666666665 "" "" "" "" "" "" "" "" "" "" "" HOPS-384 0.087 0.027 0.077 15.95 0.0 0.0 0.0 85.4302 -1.9095416666666665 409.5
2M05414418-0155203 5 41 44.184 - 1 55 20.52 "" "" None "" "" 27.8 10.0 "" "" 236.8 101.1 "" 2.7 "" "" 0.1 1.74 nd 85.4341 -1.9223666666666666 "" "" "" "" "" "" "" "" "" "" "" HOPS-384 0.158 0.04 0.087 24.11 0.08 0.03 160.1 85.4341 -1.9223666666666666 409.5
2M05414482-0154251 5 41 44.828 - 1 54 25.31 "" "" None "" "" 16.7 10.0 "" "" 1176.6 62.8 "" 0.59 "" "" -0.4 0.3 nd 85.43678333333334 -1.9070305555555556 "" "" "" "" "" "" "" "" "" "" "" HOPS-384 0.785 0.034 0.585 17.61 0.05 0.04 66.0 85.43678333333334 -1.9070305555555556 409.5
2M05414483-0154357 5 41 44.842 - 1 54 35.98 "" "" None 48.7 10.0 37.9 10.0 78.7 19.0 779.4 110.9 7.56 0.78 2.1 0.08 2.3 0.91 dd 85.43684166666667 -1.9099944444444443 HOPS-384 68.482 1.825 34.267 5.56 0.14 0.08 93.9 85.43684166666667 -1.9099944444444443 409.5 HOPS-384 0.52 0.068 0.131 15.56 0.11 0.1 166.0 85.4368375 -1.9099833333333331 409.5
2M05414512-0154470 5 41 45.126 - 1 54 47.19 "" "" None "" "" 15.3 10.0 "" "" 482.6 56.3 "" 1.47 "" "" 2.2 0.76 nd 85.438025 -1.9131083333333332 "" "" "" "" "" "" "" "" "" "" "" HOPS-384 0.322 0.034 0.233 15.79 0.04 0.04 24.2 85.438025 -1.9131083333333332 409.5
2M05414550-0154286 5 41 45.49 - 1 54 28.92 "" "" None "" "" "" "" "" "" 131.9 39.9 "" "" "" "" 1.4 1.59 nd 85.43954166666667 -1.9080333333333332 "" "" "" "" "" "" "" "" "" "" "" HOPS-384 0.088 0.02 0.1 19.04 0.0 0.0 0.0 85.43954166666667 -1.9080333333333332 409.5
2M05414580-0154297-A 5 41 45.81 - 1 54 30.05 "" "" None "" "" 25.4 10.0 "" "" 77023.1 101.6 "" 0.01 "" "" 1.0 0.0 nd 85.440875 -1.9083472222222222 "" "" "" "" "" "" "" "" "" "" "" HOPS-384 51.386 0.047 24.213 20.62 0.07 0.07 25.5 85.440875 -1.9083472222222222 409.5
2M05414580-0154297-B 5 41 45.805 - 1 54 30.3 "" "" None "" "" 23.0 10.0 "" "" 2832.9 86.0 "" 0.23 "" "" -2.0 0.16 nd 85.44085416666667 -1.9084166666666667 "" "" "" "" "" "" "" "" "" "" "" HOPS-384 1.89 0.04 1.092 20.52 0.07 0.04 99.9 85.44085416666667 -1.9084166666666667 409.5
2M05414611-0154147 5 41 46.123 - 1 54 14.99 "" "" None "" "" "" "" "" "" 3732.3 85.5 "" "" "" "" -0.1 0.07 nd 85.44217916666668 -1.9041638888888888 "" "" "" "" "" "" "" "" "" "" "" HOPS-384 2.49 0.026 2.313 31.37 0.0 0.0 0.0 85.44217916666668 -1.9041638888888888 409.5
2MJ05352131-0512126 5 35 21.318 - 5 12 12.68 "" "" None "" "" 33.0 10.0 "" "" 388.9 49.8 "" 1.6 "" "" -1.8 0.73 nd 83.838825 -5.203522222222222 "" "" "" "" "" "" "" "" "" "" "" HOPS-60 0.282 0.024 0.155 12.19 0.1 0.04 77.2 83.838825 -5.203522222222222 392.8
2MJ05352746-0509441 5 35 27.472 - 5 9 44.14 "" "" II "" "" 31.4 10.0 9.6 5.7 201.4 26.0 "" 3.11 1.8 0.12 0.2 0.99 dd 83.86446666666667 -5.162261111111111 HOPS-370 9.073 1.791 6.366 2.33 0.0 0.0 0.0 83.86446666666667 -5.162261111111111 392.8 HOPS-370 0.146 0.018 0.102 7.66 0.09 0.03 10.9 83.864475 -5.1622666666666674 392.8
2MJ05474500+0038418-A 5 47 44.999 + 0 38 41.89 "" "" None "" "" 32.2 10.0 "" "" 1410.2 57.0 "" 0.44 "" "" 1.9 0.23 nd 86.93749583333333 0.6449694444444444 "" "" "" "" "" "" "" "" "" "" "" HOPS-406 0.852 0.023 0.515 12.72 0.09 0.06 58.8 86.93749583333333 0.6449694444444444 430.3
2MJ05474500+0038418-B 5 47 44.96 + 0 38 41.82 "" "" None "" "" "" "" "" "" 177.1 22.0 "" "" "" "" 1.6 0.68 nd 86.93733333333333 0.64495 "" "" "" "" "" "" "" "" "" "" "" HOPS-406 0.107 0.009 0.082 12.56 0.0 0.0 0.0 86.93733333333333 0.64495 430.3
HH111MMS-A 5 51 46.253 + 2 48 29.65 22.0 78.0 I 192.2 10.0 44.3 10.0 332.0 7.5 1504.3 22.1 0.51 0.18 2.5 0.06 1.3 0.12 dd 87.94272083333333 2.808236111111111 HH111mms 694.088 15.681 101.693 2.28 0.55 0.17 7.6 87.94272083333333 2.808236111111111 410.6 HH111mms 2.183 0.032 0.87 7.9 0.13 0.09 7.5 87.94272083333333 2.8082333333333334 410.6
HH111MMS-B 5 51 46.066 + 2 48 30.8 22.0 78.0 I 23.0 14.6 14.3 10.0 12.2 2.3 118.5 11.1 24.08 2.76 2.1 0.11 1.9 0.79 dd 87.94194166666666 2.8085555555555555 HH111mms 25.441 4.565 21.905 2.43 0.07 0.04 146.2 87.94194166666666 2.8085555555555555 410.6 HH111mms 0.172 0.016 0.142 7.93 0.04 0.02 82.0 87.94194166666666 2.808558333333333 410.6
HH212mms 5 43 51.408 - 1 2 53.16 13.5 53.0 0 78.6 10.0 35.1 10.0 102.9 2.3 476.1 15.8 2.42 0.67 2.5 0.06 1.8 0.29 dd 85.9642 -1.0481 HH212mms 186.004 4.128 68.41 1.1 0.22 0.1 118.6 85.9642 -1.0481 413.2 HH212mms 0.604 0.02 0.327 7.0 0.1 0.04 112.4 85.96420416666668 -1.0481 413.2
HH270VLA1-A 5 51 34.587 + 2 56 46.01 7.3 32.0 0 30.7 10.0 28.5 10.0 13.4 0.5 242.4 19.0 27.7 1.58 1.9 0.07 1.0 0.63 dd 87.8941125 2.946113888888889 HH270VLA1 18.902 0.678 14.789 0.32 0.08 0.03 143.9 87.8941125 2.946113888888889 430.1 HH270VLA1 0.243 0.019 0.166 7.52 0.08 0.03 143.0 87.8941125 2.9461194444444447 430.1
HH270VLA1-B 5 51 34.6 + 2 56 45.88 7.3 32.0 0 36.5 10.0 "" "" 12.6 0.5 87.8 6.0 28.39 "" 2.3 0.07 3.1 0.52 dd 87.89416666666666 2.946077777777778 HH270VLA1 17.713 0.726 12.903 0.32 0.1 0.04 141.2 87.89416666666666 2.946077777777778 430.1 HH270VLA1 0.088 0.006 0.16 7.52 0.0 0.0 0.0 87.89417083333332 2.9460805555555556 430.1
HH270VLA1-C 5 51 34.595 + 2 56 45.89 7.3 32.0 0 "" "" 39.1 10.0 "" "" 528.6 29.0 "" 0.69 "" "" -0.4 0.48 nd 87.89414583333333 2.9460805555555556 "" "" "" "" "" "" "" "" "" "" "" HH270VLA1 0.53 0.029 0.212 7.52 0.11 0.09 50.3 87.89414583333333 2.9460805555555556 430.1
HH270mms1-A 5 51 22.717 + 2 56 4.98 7.7 72.0 I 92.3 10.0 32.4 10.0 161.3 3.4 793.9 23.1 1.73 0.47 2.4 0.06 1.9 0.23 dd 87.84465416666666 2.934716666666667 HH270mms1 258.935 5.249 68.772 1.11 0.27 0.14 87.4 87.84465416666666 2.934716666666667 405.7 HH270mms 0.907 0.025 0.463 8.24 0.09 0.06 98.6 87.84465416666666 2.934716666666667 405.7
HH270mms1-B 5 51 22.632 + 2 56 6.8 7.7 72.0 I 27.9 18.9 "" "" 6.0 1.6 21.8 "" 62.81 "" "" "" "" "" du 87.8443 2.9352222222222224 HH270mms1 9.574 2.558 7.059 1.06 0.08 0.07 2.7 87.8443 2.9352222222222224 405.7 HH270mms "" "" "" 8.92 "" "" "" 87.8443 2.9352222222222224 405.7
HH270mms2 5 51 22.572 + 2 55 43.16 4.6 249.0 Flat 87.4 10.0 "" "" 56.7 1.6 24.9 "" 5.8 "" "" "" "" "" du 87.84405 2.9286555555555553 HH270mms2 75.444 2.169 14.196 0.38 0.25 0.2 47.3 87.84405 2.9286555555555553 413.3 HH270mms "" "" "" 8.34 "" "" "" 87.84405 2.9286555555555553 405.7
HOPS-1 5 54 12.347 + 1 42 35.48 1.1 72.6 I 19.1 10.0 "" "" 12.0 0.4 163.5 17.8 59.97 "" 2.0 0.08 1.0 0.92 dd 88.55144583333333 1.7098555555555555 HOPS-1 14.089 0.531 11.711 0.26 0.06 0.03 2.5 88.55144583333333 1.7098555555555555 356.9 HOPS-1 0.147 0.016 0.125 8.1 0.0 0.0 0.0 88.55145 1.7098527777777777 356.9
